245	247	173
193	203	255
245	163	200
237	183	161
200	200	161
204	159	180
195	189	158
187	218	206
210	237	182
180	252	207
251	144	201
188	236	191
172	218	199
169	240	164
247	173	236
229	237	232
186	199	209
200	245	184
236	214	218
205	180	214
232	241	255
166	160	242
188	192	216
207	220	197
222	209	184
247	223	207
255	255	240
190	245	216
236	197	191
243	244	165
173	246	193
194	187	173
247	224	190
236	175	178
220	195	248
214	181	198
214	253	164
255	255	212
255	191	233
147	235	220
230	187	255
217	236	255
196	228	192
250	202	216
179	238	232
179	255	243
218	162	214
139	225	186
208	223	148
190	224	165
203	255	211
161	248	209
240	146	219
253	168	186
185	255	189
251	250	191
211	179	243
255	201	180
255	167	187
229	204	203
246	175	255
220	175	255
246	246	255
158	229	255
214	252	247
236	255	190
235	196	255
229	255	229
154	179	203
233	193	207
155	198	249
247	255	255
194	153	247
232	243	167
187	179	207
172	202	237
235	151	199
250	152	250
203	239	214
215	180	222
199	238	232
209	255	197
240	255	163
180	140	231
212	143	210
231	202	232
190	204	234
189	255	220
243	184	226
248	221	209
218	208	226
174	242	172
244	182	193
194	222	232
215	251	194
239	195	202
239	196	255
203	240	255
180	169	239
216	209	198
228	239	220
212	192	249
240	230	238
248	247	194
180	244	255
255	255	181
241	219	161
248	243	196
221	247	203
240	255	182
247	195	252
218	233	255
220	232	187
198	203	254
196	166	157
234	209	161
253	255	166
255	190	255
255	228	210
199	214	223
204	233	151
201	179	247
218	246	208
